id,value
44,42 мм
45,16
46,36 мес.
47,черный
48,32
49,2
50,[RX6500XT PGD 4GO]
51,Radeon RX 6500 XT
52,2820 МГц
53,1024
54,64 бит
55,Китай
56,64
57,129 мм
58,2.1
59,нет
60,459 г
61,6 нм
62,GDDR6
63,2 осевых
64,AMD RDNA 2
65,0
66,видеокарта
67,ASRock AMD Radeon RX 6500 XT Phantom Gaming D OC
68,4 ГБ
69,8 pin
70,"DisplayPort, HDMI"
71,18000 МГц
72,документация
73,есть
74,4
75,активное воздушное
76,7680x4320 (8K Ultra HD)
77,PCIe 4.0
78,400 Вт
79,1.4
80,240 мм
81,144 Гбайт/сек
82,PCIe x16
83,Infinity Cache - 16 Мб
84,2365 МГц
85,36 мм
86,белый
87,[11314-04-20G]
88,2825 МГц
89,110 мм
90,1 осевой
91,Sapphire AMD Radeon RX 6500 XT ITX PULSE PURE GAMING OC
92,6 pin
93,152 мм
94,130 Вт
95,2310 МГц
96,40 мм
97,[11314-07-20G]
98,2865 МГц
99,194 мм
100,107 мм
101,Sapphire AMD Radeon RX 6500 XT PULSE GAMING OC
102,8 ГБ
103,[11314-08-20G]
104,2855 МГц
105,Sapphire AMD Radeon RX 6500 XT PULSE OC
106,[RX6500XT PG 8GO]
107,1.4a
108,2420 МГц
109,ASRock AMD Radeon RX 6500 XT Phantom Gaming
110,18
111,[NE63050018JE-1072F]
112,GeForce RTX 3050
113,1470 МГц
114,2304
115,96 бит
116,72
117,117 мм
118,8 нм
119,NVIDIA Ampere
120,Palit GeForce RTX 3050 StormX V1
121,3
122,6 ГБ
123,"DVI-D, DisplayPort, HDMI"
124,14000 МГц
125,8
126,300 Вт
127,162 мм
128,168 Гбайт/сек
129,70 Вт
130,технология «0 децибел»
131,1042 МГц
132,41.5 мм
133,[35NRLDHP9ODK]
134,1485 МГц
135,Гонконг
136,209 мм
137,118 мм
138,1040 МГц
139,KFA2 GeForce RTX 3050 X Black
140,37 мм
141,[DUAL-RTX3050-O6G]
142,1537 МГц
143,450 Вт
144,201 мм
145,120 мм
146,L2 кэш - 2 Мб
147,ASUS GeForce RTX 3050 Dual OC Edition
148,[NE63050S18JE-1070F]
149,1492 МГц
150,Palit GeForce RTX 3050 StormX OC
151,[RTX 3050 VENTUS 2X E 6G OC]
152,Тайвань (Китай)
153,109 мм
154,404 г
