id,name
51,Толщина видеокарты
52,Аппаратное ускорение трассировки лучей (RT-ядра)
53,Гарантия продавца / производителя
54,Цвет
55,Число блоков растеризации
56,Количество занимаемых слотов расширения
57,Код производителя
58,Графический процессор
59,Турбочастота
60,Количество универсальных процессоров (ALU)
61,Разрядность шины памяти
62,Страна-производитель
63,Число текстурных блоков
64,Ширина видеокарты
65,Версия HDMI
66,Синхронизация RGB подсветки
67,Вес
68,Техпроцесс
69,Тип памяти
70,Тип и количество установленных вентиляторов
71,Микроархитектура
72,Тензорные ядра
73,Тип
74,Низкопрофильная карта (Low Profile)
75,Модель
76,Количество подключаемых одновременно мониторов
77,LCD дисплей
78,Объем видеопамяти
79,Разъемы дополнительного питания
80,Подсветка элементов видеокарты
81,Тип и количество видеоразъемов
82,Эффективная частота памяти
83,Комплектация
84,LHR
85,Поддержка трассировки лучей
86,Количество линий PCI Express
87,Тип охлаждения
88,Максимальное разрешение
89,Интерфейс подключения
90,Рекомендуемый блок питания
91,Версия DisplayPort
92,Длина видеокарты
93,Максимальная пропускная способность памяти
94,Предназначена для майнинга (добыча криптовалют)
95,Форм-фактор разъема подключения
96,Радиатор жидкостного охлаждения
97,Переключатель BIOS
98,"Особенности, дополнительно"
99,Штатная частота работы видеочипа
100,Потребляемая мощность
101,Система охлаждения в комплекте
102,Встроенный контроллер PCI Express
103,Количество каналов
104,Частота оперативной памяти
105,Базовая частота энергоэффективных ядер
106,Технология виртуализации
107,Максимально поддерживаемый объем памяти
108,Поддержка режима ECC
109,Ядро
110,Максимальная температура процессора
111,Термоинтерфейс в комплекте
112,Количество производительных ядер
113,Максимальная частота в турбо режиме
114,Интегрированное графическое ядро
115,Число линий PCI Express
116,Базовая частота процессора
117,Сокет
118,Базовое тепловыделение
119,Максимальное число потоков
120,Свободный множитель
121,Тепловыделение (TDP)
122,Гарантия продавца
123,Общее количество ядер
124,Объем кэша L2
125,Количество энергоэффективных ядер
126,Объем кэша L3
127,Год релиза
128,Частота в турбо режиме энергоэффективных ядер
129,Максимальная частота графического ядра
130,Исполнительные блоки
131,Потоковые процессоры (Shading Units)
132,Модель графического процессора
133,Длина коробки
134,Количество разъемов M.2
135,Подсветка элементов платы
136,Режим работы NVMe RAID
137,Серия
138,Количество слотов PCI-E x1
139,Кнопки на плате
140,Ширина
141,Интерфейс LPT
142,Форм-фактор поддерживаемой памяти
143,Слоты PCIe x16
144,Скорость сетевого адаптера
145,Разъем питания процессора
146,Количество слотов памяти
147,Поддержка SLI / CrossFire
148,Сетевой адаптер
149,Пассивное охлаждение
150,Высота
151,Тип поддерживаемой памяти
152,Другие слоты расширения
153,Активное охлаждение
154,Приложение для взаимодействия со смартфоном
155,Основной разъем питания
156,Совместимые ядра процессоров AMD
157,Частота оперативной памяти в разгоне
158,Ширина коробки
159,"Разъемы M.2 (M), PCIe линии процессора"
160,Количество фаз питания
161,Версия PCI Express
162,Чипсет звукового адаптера
163,Разъемы SMA (для антенны Wi-Fi)
164,Режим работы SATA RAID
165,Разъемы для корпусных вентиляторов (3 pin)
166,Разъемы на обратной стороне (Back-Connect)
167,Количество каналов памяти
168,Разъемы питания процессорного охлаждения
169,Форм-фактор
170,Высота коробки
171,Порты USB Type-A
172,Порты USB Type-C
173,Цифровые аудиопорты (S / PDIF)
174,Порты PS / 2
175,Звуковая схема
176,"Разъемы M.2 (M), PCIe линии чипсета"
177,Видеовыходы
178,Поддержка NVMe
179,Разъемы 5V-D-G (3 pin) для ARGB подсветки
180,Разъем M.2 (E) для модулей беспроводной связи
181,Количество аналоговых аудиоразъемов
182,ПО для синхронизации подсветки
183,Разъем RS-232 (COM)
184,Максимальный объем памяти
185,Стандарт Wi-Fi
